song_name,artist,spotify_id,popularity
feelslikeimfallinginlove - Single Version,Coldplay,1YsU8rW2u8z4F0pwOBQ4Ea,71
Humankind,Coldplay,23BO6YozrAXUta1buxFZ80,57
Clocks,Coldplay,0BCPKOYdS2jbQ8iyB56Zns,85
Higher Power,Coldplay,65OR4ywy8Cgs3FDHK82Idl,69
Sparks,Coldplay,7D0RhFcb3CrfPuTJ0obrod,90
♾,Coldplay,2wleRXcIPqltoDPLMH5WDa,54
Charlie Brown,Coldplay,1yqMgZNrevsWMLWfO2PRp5,71
4 Morant (Better Luck Next Time),Com Truise,3XOmSRuEEq7rK4XNzWQdyT,72
The Spins,"Mac Miller, Empire Of The Sun",7FAFkQQZFeNwOFzTrSDFIh,83
We Are The People,Empire Of The Sun,3zEN0ii6s4DHHBpnTp3RP7,86
I LIKE,Tory Lanez,5uKHTLXNcftXtYfU7j9cQ6,68
Lady Of Namek,Tory Lanez,6btIpLff2jE56h2N40smAj,52
Teenage Dirtbag,Wheatus,25FTMokYEbEWHEdss5JLZS,82
500 Benz,Joey Bada$$,1bFTbcaNB7jkJEErnmSxdb,54
Head High,Joey Bada$$,6Nit8zUQiZ53JfkLgoID6h,57
THE REV3NGE,Joey Bada$$,2qvc0vB4AAW39DR9j6vXa1,52
Wish I Never Met You - Prison Tapes,Tory Lanez,7MOjhqpSpGkeRyT4agpg12,74
Excitement,"Trippie Redd, PARTYNEXTDOOR",66w7lK0t98OPgvYjXp39IP,73
m.A.A.d city,"Kendrick Lamar, MC Eiht",0nfQguNoAfKFjsQHr6qnxc,64
A Sky Full of Stars,Coldplay,0FDzzruyVECATHXKHFs9eJ,87
Something Just Like This,"The Chainsmokers, Coldplay",6RUKPb4LETWmmr3iAEQktW,88
Hymn for the Weekend,Coldplay,3RiPr603aXAoi4GHyXx0uy,84
Paradise,Coldplay,6nek1Nin9q48AVZcWs9e9D,85
Tell Me,"NEIL FRANCES, The Undercover Dream Lovers",1FJYX0a18UBzFOWzec43Ih,53
She Needs Him,Her's,1NjzNt18LlNTuJYErYGvbQ,63
Neo Surf,"GENER8ION, 070 Shake",6XmT8fIEfcS3ZSVEz00U7m,46
Battlefield,070 Shake,2Y0DLfSAncXNhn2tOjmvSD,35
Elephant,070 Shake,4MH3D8angFt2z5B8yO3xnG,42
Under Pressure,Logic,5LME7YULt0enp6UAB8VoDn,55
"Fuwarin - ""gift"" live ver.",Ichiko Aoba,2b80HSplhSJ4RLN0tXkzgK,25
Crawling,Linkin Park,57BrRMwf9LrcmuOsyGilwr,81
(Don't Fear) The Reaper,Blue Öyster Cult,5QTxFnGygVM4jFQiBovmRo,76
Rebel Yell,Billy Idol,4TIJ7zSBNejpoIPaWpWRKc,77
"Paint It, Black",The Rolling Stones,63T7DJ1AFDD6Bn8VzG6JE8,82
Detroit Rock City,KISS,4Q9WS9ARvL7rkokSbnhM96,68
Mariage d'Amour,Jacob's Piano,4Sg5kugcA7G2dyFpok5Jyt,0
Cream,Aaron May,4O89rUWrGgWYKaHJUOp314,60
all of me,21 Savage,2FoahzOSxJnalPA8aBUme3,68
red sky,"21 Savage, Tommy Newport, Mikky Ekko",4yLyVdEqV790aIXyGif85v,61
sweet rally,"ilysam, Mc Ster",5nzqZiPOg9jWn5jz8KRwJJ,65
did i tell u that i miss u,adore,3qeFjtPJ1lIRKDTB5DZWpt,72
Under Your Spell,Snow Strippers,3iRoXGFrF8O0jTul6LAmus,78
the way i see things,Lil Peep,2Ku34RwdypCEfVJyxQIfyI,66
praying to the sky,Lil Peep,0hzck1SKuiZM0x3oiAgeP3,62
Everlong - Acoustic Version,Foo Fighters,3QmesrvdbPjwf7i40nht1D,68
"i crash, u crash","Lil Peep, Lil Tracy",5Kc7tvgQCCayTkJdVl8kS1,60
squabble up,Kendrick Lamar,0nj9Bq5sHDiTxSHunhgkFb,81
tv off (feat. lefty gunplay),"Kendrick Lamar, Lefty Gunplay",0aB0v4027ukVziUGwVGYpG,86
No Guts No Glory,"Star-Lord Band, Steve Szczepkowski, Yohann Boudreault",13mk8FyPM6sNmD0jc9fFk2,32
Sun Outside My Window,Strawberry Guy,5fCqHoueAR1Q790mPKj1HR,50
Last Time,Aaron May,4eS4oCrin8HydAwz40lSCa,51
In Love,Aaron May,4Sp4AgLbWeqddzY7DNhJFv,63
Temporary,Aaron May,77t5GXULWQShn9wyD2mB8a,48
As We Bloom,Strawberry Guy,2OBPe4Pm6C8Lwh3dn6DbXs,47
Mrs Magic,Strawberry Guy,0TZejo18HlJ86OrWNsXKnw,78
Innermission,"Logic, Lucy Rose",1zucHJN4WKHIzSL4FyiJw9,48
Lord Willin',Logic,4q6oNFTjZmJqkIgPdp8iR1,51
I Am The Greatest,Logic,1BTj47Up5m8601KOFrTvkj,47
Like Woah,Logic,6bM3GKo47KVgvj3gHdWS0U,52
Fade Away,Logic,4QRWA5UqYU1st9aO0UfxOj,51
How I Am,"Aaron May, JAY Millz",2hIAYj4280fqfNCmGhHWxN,46
Chains,Aaron May,3hq6IKV83bw3XXZ2jvYEew,60
No Recognition,Aaron May,3nKrgkNMJGqBQT0QP9rArg,61
Ride,Aaron May,4QEks3yeZVdjNV1zTqxp1F,65
"I'm Good Luv, Enjoy.",Aaron May,3RKLJPyyMZfwebsePAzqjL,68
Ms. Communication,"theMIND, Da-P, Sun",4KGaCST7kfqslQnBPNwenm,45
Ghost,"Ahmad Anonimis, Foolie $urfin",4R4JCKTVXxexzIH9Vy9yeR,39
EDEN,"NUUAMM, MahiToThePeople, Ichiko Aoba",55EeogXnsqU3jx3YITR1YM,38
The Thrill Of Loneliness,Hana Stretton,5gLPbxnh6clpHOUxmAVUyN,58
How to Impress God,"Saba, No ID",1o5j4OuuHUVMTG0sv35Lsa,35
Dreams,Aaron May,7n6hs80v9v1HEfKsD9Y0Na,60
Fly god manners,jev.,0hLYU06I6ppGIhqiJ4uZom,52
Intermission,Strawberry Guy,4hm33jVolpa22nzhlY72jD,63
Every 1's a Winner,Hot Chocolate,1DdIcvg2SZ3C8INMoEoHzR,55
Watch Me Shine,"Star-Lord Band, Steve Szczepkowski, Yohann Boudreault",343sElM9KwGdei1xICFze7,36
Space Riders with No Names,"Star-Lord Band, Steve Szczepkowski, Yohann Boudreault",17JqtyjwoxmLDdKd1TWqIK,38
Zero to Hero,"Star-Lord Band, Steve Szczepkowski, Yohann Boudreault",2zAcPvl1fi3RGNGYIcdiM8,46
Everybody Wants To Rule The World,Tears For Fears,4RvWPyQ5RL0ao9LPZeSouE,87
Somethin Wrong In Heaven,Marlon Craft,73ekBE1ZHp8ySUaX0YdCtR,58
Overdue (with Travis Scott),"Metro Boomin, Travis Scott",6LyAwkJsHlW7RQ8S1cYAtM,74
The Ballad of Eddie Jabuley,Hotel Ugly,5aJOyuvqhcCRpaUCubwXk9,64
Dunno,Mac Miller,3YnwIp2b99p3e5dsFTXIIx,64
Faith,The Weeknd,3orEOtd8CPL8GFlpRpKuoE,68
とうめい,"Albert Karch, Ichiko Aoba",50NwKvY2NoMgcClqZVCjbR,22
はるなつあきふゆ,Ichiko Aoba,3wEVnzZWbJ37zzSvMV0MNA,43
Nocturne in Eb Major (Op. 9 No. 2),Rousseau,0lPryy0ztPJCOmXYJdDf1m,39
Lady Killers II,G-Eazy,068AyhyvE67qMRsMXLqAnd,78
マホロボシヤ,Ichiko Aoba,4HXShgD3c3dq65CtAqoqzh,35
Amore,Ryuichi Sakamoto,6E5WbApzLBhku6dyn99YJw,0
Time,Aaron May,17armpXR1i2anQrzFyLE3K,60
レースのむこう - remastered,Ichiko Aoba,3f8PdjhHm7dSF3C2h6zRuV,21
四月の支度,Ichiko Aoba,5aKbiBA0rtJS1soySgOrW0,31
Karakai,"Sweet William, Ichiko Aoba",1DFQpMVMM4esSg02Zj0Gx6,33
Switch,6LACK,29ZZAShKhwRUuKULSNtxX6,59
Let Her Go,6LACK,0CIGZEXjZ8L52lOrqUljJt,52
Know My Rights (feat. Lil Baby),"6LACK, Lil Baby",7fsNNSLGG8Wi0nFbufCU6L,55
One Way (feat. T-Pain) - Bonus,"6LACK, T-Pain",7HDpgbWMVzI8bEbdldw3cs,56
